Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000005801.18	397	960	573	731	414	720	292	601
ENSG00000005810.20	678	2265	822	2330	3713	2596	1828	2163
ENSG00000005812.11	243	1456	628	1536	2006	2703	1647	1777
ENSG00000005844.19	493	1252	321	1853	2080	2389	1245	3371
ENSG00000005882.12	438	329	572	441	523	715	527	520
ENSG00000005884.18	51716	2843	21574	5798	10948	12693	9082	12879
ENSG00000005889.16	551	1583	775	808	1074	2028	1112	978
ENSG00000005893.17	8789	5275	10343	4854	7169	6182	4697	4445
ENSG00000005961.19	129	250	16	92	71	74	31	153
ENSG00000005981.13	8	6	1	13	15	7	30	28
ENSG00000006007.12	1873	2462	4909	5013	2511	1773	1696	1809
ENSG00000006015.18	1546	998	2084	566	1580	2253	977	1837
ENSG00000006016.12	41	5377	721	17	428	138	128	97
ENSG00000006025.13	1383	787	732	382	618	953	285	767
ENSG00000006042.12	1253	3515	908	1068	2234	2983	2435	1611
ENSG00000006047.13	450	5	140	55	7	6	7	20
ENSG00000006059.4	0	0	0	0	0	0	0	0
ENSG00000006062.18	1051	876	606	601	1251	1252	1381	1705
ENSG00000006071.16	0	341	2	1	73	91	26	126
ENSG00000006116.4	0	1	0	0	0	0	0	0
ENSG00000006118.15	6210	5967	473	514	681	1216	211	612
ENSG00000006125.18	5551	5153	8202	6414	7563	6651	4946	4484
ENSG00000006128.12	2	0	1	0	3	2	21	33
ENSG00000006194.11	382	318	841	326	532	627	405	582
ENSG00000006210.7	376	1070	1140	1200	3914	6438	3323	12425
ENSG00000006282.22	2465	2045	3300	1517	2108	1999	1090	2125
ENSG00000006283.18	8	8	101	112	77	3	24	49
ENSG00000006327.14	5077	1664	5197	1635	2045	938	2580	1914
ENSG00000006377.11	76	8	0	0	0	4	0	0
ENSG00000006432.16	588	832	676	524	507	188	333	286
ENSG00000006451.8	1610	2370	3390	3362	3022	5292	1678	3583
ENSG00000006453.14	1824	930	1694	1747	1093	1008	1039	1113
ENSG00000006459.11	288	1427	380	2120	1807	1855	1422	1343
ENSG00000006468.15	272	1128	2409	1859	3450	2243	3179	1997
ENSG00000006530.18	571	745	472	905	674	1410	400	921
ENSG00000006534.17	1722	852	1395	1203	2880	4100	5247	3769
ENSG00000006555.11	383	349	600	332	199	326	320	190
ENSG00000006576.17	451	892	664	1028	928	851	658	855
ENSG00000006606.9	23	10	6	12	6	51	10	8
ENSG00000006607.14	605	1440	552	839	1066	881	914	896
ENSG00000006611.17	7	400	0	0	12	2	11	29
ENSG00000006625.18	239	1161	1774	2916	341	536	302	407
ENSG00000006634.8	87	255	170	451	135	198	117	194
ENSG00000006638.13	116	50	81	42	164	384	71	240
ENSG00000006652.15	31	222	74	186	334	483	331	956
ENSG00000006659.13	0	0	0	0	0	2	0	3
ENSG00000006695.12	398	285	298	423	359	320	266	299
ENSG00000006704.11	945	702	705	400	506	693	447	567
ENSG00000006712.15	1656	1263	2799	1281	1939	1960	1730	1916
ENSG00000006715.16	1146	1998	4326	3814	2430	2245	1697	1511
ENSG00000006740.18	176	626	436	984	1935	1236	2060	1647
ENSG00000006744.19	1780	1433	1094	1499	1465	2025	885	1482
ENSG00000006747.15	392	59	1318	1321	620	401	877	441
ENSG00000006756.16	2162	1949	4349	1606	1623	1884	2536	1232
ENSG00000006757.12	410	339	794	303	351	431	522	276
ENSG00000006788.14	0	3	5	6	3	7	0	4
ENSG00000006831.10	3516	1272	1596	3156	3784	3028	2562	2880
ENSG00000006837.12	29	32	35	11	15	42	8	21
ENSG00000007001.14	0	10	9	0	0	17	4	0
ENSG00000007038.11	578	4	8	6	114	8	153	43
ENSG00000007047.16	1282	681	615	701	1310	1168	823	969
ENSG00000007062.12	12	2709	54	35	81	32	630	113
ENSG00000007080.11	1584	1458	2064	896	1608	2042	1207	1434
ENSG00000007129.18	27	103	26	114	47	279	81	153
ENSG00000007168.15	1746	2812	1695	3806	5554	5410	4123	4377
ENSG00000007171.19	88	17	2	19	31	161	65	90
ENSG00000007174.18	6	21	0	13	53	132	1431	272
ENSG00000007202.16	2346	2644	2018	3134	4500	3287	2282	2329
ENSG00000007216.16	0	2316	18	0	8	57	392	36
