"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000166851.15",479.151099116919,3.68899035896572,0.294300213153769,12.5347865685651,4.8165640890439e-36,1.23448537602195e-32
"ENSG00000117724.15",1009.9071863164,4.44520096985048,0.35790711290704,12.4199849892479,2.03599692885702e-35,4.17460810292842e-32
"ENSG00000118785.15",19165.0879262269,7.36844768701695,0.616431935850375,11.9533840777605,6.23342878482825e-33,7.98813898775741e-30
"ENSG00000131747.15",2017.28462300255,4.52958200099079,0.404820833135312,11.1891030061607,4.61074301807161e-29,4.7435994560669e-26
"ENSG00000183317.17",238.709877508645,4.27888521674173,0.386400072536701,11.0737174262184,1.68272257548601e-28,1.64297827084596e-25
"ENSG00000174371.17",168.880256259371,4.07806925918099,0.369908955848412,11.024521560522,2.91062086652575e-28,2.59475522814105e-25
"ENSG00000179913.11",607.695319472978,5.61413667642107,0.509509340160495,11.0187119919188,3.10469666693038e-28,2.65244585244752e-25
"ENSG00000148773.14",1271.83559479262,4.51724712826421,0.417656356955241,10.815703036811,2.90060088964952e-27,2.20273780153236e-24
"ENSG00000080986.13",244.286900214963,3.22106541217939,0.303975737858446,10.5964556081754,3.0948824951187e-26,1.98304595874731e-23
"ENSG00000156970.13",323.302711980315,4.62157851393762,0.443478326023299,10.4212049219623,1.98423260605787e-25,1.13013070429474e-22
"ENSG00000166923.12",911.22057633026,4.3629984744168,0.42111773553443,10.3605194136025,3.74920492694052e-25,2.02299204794706e-22
"ENSG00000060718.22",3457.93264967222,9.43138949324605,0.914456597217959,10.3136546031152,6.11314852814343e-25,3.21394865182187e-22
"ENSG00000117399.14",689.294575380987,5.18181253294182,0.505314836821689,10.2546217829941,1.12816789480227e-24,5.64194012561603e-22
"ENSG00000109805.10",263.274368505266,4.05555967770238,0.4003971051098,10.1288436553262,4.11486671177096e-24,1.79513249059897e-21
"ENSG00000088325.16",818.203926662714,4.42363289872932,0.438374535068971,10.0909896557594,6.05558842811438e-24,2.58674552354286e-21
"ENSG00000135069.14",236.937099216192,3.24258587497514,0.323472158220428,10.0243121164249,1.19186630038494e-23,4.79176992609664e-21
"ENSG00000011426.11",899.129209347397,4.83880445910724,0.48907374624683,9.89381355315104,4.42829944870023e-23,1.56548020510602e-20
"ENSG00000090889.12",341.336446526009,4.21515909234527,0.427529061060686,9.85935103893897,6.2451720128193e-23,2.13418344918078e-20
"ENSG00000134057.15",580.116177869922,2.9184226749802,0.299963591374599,9.72925634609979,2.26240832884105e-22,7.48200328621884e-20
"ENSG00000157456.8",398.471102665631,3.80403787419687,0.400108161511496,9.50752381512611,1.9525481271115e-21,5.80218069540496e-19
"ENSG00000276043.5",790.70504298086,4.74454950564764,0.502487731708447,9.44212008821843,3.65311774535879e-21,1.04032675348384e-18
"ENSG00000149554.15",317.795275824426,3.17993491675564,0.336894828719613,9.43895437291558,3.76517834927001e-21,1.05755091607441e-18
"ENSG00000092853.14",206.314805183995,3.60338495047773,0.382548486684707,9.41942021965862,4.53585641471074e-21,1.25679999901661e-18
"ENSG00000183856.11",931.185537078065,4.89173439781273,0.526402938419509,9.29275663334982,1.50343097225908e-20,4.05609850726318e-18
"ENSG00000143228.13",272.20174765197,4.04574858298428,0.443581839008734,9.12063621005147,7.46845961006085e-20,1.89053451660108e-17
"ENSG00000078098.15",695.519672423045,2.79595875528743,0.30700237805001,9.10728696320386,8.44677473247336e-20,2.06181748945993e-17
"ENSG00000099953.10",7749.17227321893,7.99727144666851,0.88103825760787,9.07709895411593,1.11507218938593e-19,2.68981649072578e-17
