"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000197245.6",579.013584339943,-4.41791744455303,0.454236394971645,-9.72603140888526,2.33526594285452e-22,7.60036395115699e-20
"ENSG00000168484.13",310199.455469273,-9.80505531813776,1.01353934998566,-9.6740746358555,3.88591060194293e-22,1.24494860909747e-19
"ENSG00000243566.7",1628.33976566664,-6.07789198296993,0.630960056487665,-9.63276822435232,5.8141652650191e-22,1.83405607067618e-19
"ENSG00000137273.6",400.050110732098,-3.25217456878425,0.339175530119952,-9.58847051151977,8.94004069628523e-22,2.77737264297928e-19
"ENSG00000158764.7",335.686680189992,-8.20109598951609,0.85578068985146,-9.58317485632863,9.41067216273355e-22,2.87994659738341e-19
"ENSG00000233493.4",211.351354344701,-4.83682304034597,0.50642305775488,-9.5509534297056,1.28508110392469e-21,3.87489749336349e-19
"ENSG00000046653.15",417.837240768213,-2.69601686135954,0.283614044507779,-9.50593566703848,1.98257577101413e-21,5.80724765841053e-19
"ENSG00000080618.17",394.447833181414,-7.22345240458204,0.763488741211256,-9.46111188636811,3.04685856970524e-21,8.79898424130088e-19
"ENSG00000144218.21",559.796731916466,-4.56218492575144,0.484917670881947,-9.40816390018111,5.04879050511292e-21,1.38027200689114e-18
"ENSG00000154764.6",166.817460316823,-5.81123898652402,0.633149491994012,-9.17830474478053,4.37931168501344e-20,1.16614814012358e-17
"ENSG00000143546.10",1419.53498501875,-4.71840176771388,0.514809660951668,-9.16533259883183,4.93944163662834e-20,1.29843988868497e-17
"ENSG00000141338.15",1301.10735122283,-4.41308071579629,0.481860899808799,-9.15841214248218,5.26665258214853e-20,1.36692967777688e-17
"ENSG00000018625.15",172.283308934553,-5.02452668865081,0.550646471116191,-9.12477778794408,7.18835738520751e-20,1.84237599782868e-17
"ENSG00000047648.23",475.625355648625,-2.78903542960398,0.305958724265628,-9.115724470019,7.81465903553137e-20,1.95404596176263e-17
"ENSG00000120156.22",2024.65432396069,-3.97026341233967,0.435670844613151,-9.11298853579477,8.01432820252486e-20,1.97982874053698e-17
"ENSG00000171509.16",212.671474447202,-5.62384129292816,0.627957593876125,-8.95576603861814,3.37384779340656e-19,7.51927990826175e-17
"ENSG00000205364.4",432.398725232896,-5.47685476727775,0.613238297037278,-8.93103838057397,4.22028641830457e-19,9.20561199158691e-17
"ENSG00000165795.25",3014.69872364742,-2.62779814167937,0.294336170210475,-8.9278804565551,4.34248534113053e-19,9.37245467732004e-17
"ENSG00000185008.19",269.910986625034,-3.71386253250988,0.416123180264211,-8.92491144125117,4.4605594354049e-19,9.5270115274523e-17
"ENSG00000290667.2",285.423224177369,-8.72637479341341,0.99281582312618,-8.78952026160883,1.50199958921616e-18,3.11080803810991e-16
"ENSG00000120913.24",1466.00492077933,-2.53019252792058,0.289639986456474,-8.73564647918808,2.42266544270288e-18,4.91825071655247e-16
"ENSG00000267107.10",686.788025319938,-3.98954256971534,0.457462977914352,-8.72101735511867,2.75713168720337e-18,5.54237530533508e-16
"ENSG00000163501.7",68.6063681895942,-5.96237164623049,0.684039660460702,-8.71641220658876,2.87156449460637e-18,5.71636489295233e-16
"ENSG00000246430.10",211.242233008138,-4.90508948465711,0.565057172583692,-8.68069590591845,3.9335455656874e-18,7.68127793131947e-16
"ENSG00000189292.17",255.432477038842,-5.64605407265079,0.65150615635679,-8.66615613308003,4.46953929552394e-18,8.64560695428518e-16
"ENSG00000103710.11",918.403761236895,-3.55879185735632,0.411258375016141,-8.6534209965126,4.99782440486676e-18,9.57713940162506e-16
"ENSG00000150625.17",728.921556790198,-6.2540482911259,0.722910825042695,-8.65120299001821,5.09593671695643e-18,9.67473022634025e-16
"ENSG00000169218.14",184.197941161241,-5.62499870178917,0.653769059346497,-8.60395367656566,7.70160747873067e-18,1.42264648417922e-15
"ENSG00000226516.8",97.2797220316398,-5.03542608978813,0.591316095564802,-8.51562493826334,1.65694294559993e-17,2.92878949625698e-15
"ENSG00000114854.8",600.537017165644,-3.71083977237743,0.436236131449524,-8.50649339853409,1.79272806872462e-17,3.14171763428458e-15
"ENSG00000076555.16",1044.27281235375,-2.48472939975577,0.292688913581601,-8.48931846905444,2.07852411840996e-17,3.58134945578806e-15
"ENSG00000198075.10",392.075450551364,-3.87830762222564,0.456834386280312,-8.48952648640141,2.07480727578977e-17,3.58134945578806e-15
"ENSG00000129596.5",241.297680094252,-3.89735204316458,0.459728150349779,-8.47751446196916,2.30055773567015e-17,3.93088631768173e-15
"ENSG00000185532.20",520.735219914624,-2.81921759068925,0.332594878799761,-8.47643114909945,2.32207054495189e-17,3.93485408708211e-15
"ENSG00000186198.4",103.638461926487,-4.42772833884011,0.523841071672895,-8.4524268490443,2.85309313999927e-17,4.79506735594632e-15
"ENSG00000165495.16",363.881004299239,-4.05901164270683,0.4806401988729,-8.44501074239151,3.04017496221317e-17,5.06794694513974e-15
"ENSG00000175445.17",2629.87137374959,-3.60703685543595,0.428027685845665,-8.42711108350254,3.54303483837111e-17,5.85857954241622e-15
"ENSG00000274736.5",159.435990168375,-4.43673120756156,0.52917680606548,-8.3842132850633,5.10661280112317e-17,8.37647910993836e-15
"ENSG00000149403.13",80.0771481936437,-4.50483934941821,0.538352467853264,-8.36782520452022,5.86913687404027e-17,9.55085575121601e-15
"ENSG00000065325.13",56.6296028404153,-5.455968684809,0.653116642271155,-8.35374316268584,6.61330631497149e-17,1.0593690053295e-14
"ENSG00000067840.13",304.695489259118,-3.19671313852955,0.383151593936571,-8.34320720340981,7.23023171359423e-17,1.14037439273489e-14
"ENSG00000155511.19",336.30070471855,-6.77473916214295,0.814469489439879,-8.31797783708513,8.94767386506645e-17,1.40048171701773e-14
"ENSG00000071082.11",11378.2002021802,-1.86035414821708,0.224592973175348,-8.2832250800858,1.19883532323345e-16,1.84818943365253e-14
"ENSG00000177098.9",998.43375398503,-4.54508387128548,0.553396763752675,-8.21306550559587,2.15611844702523e-16,3.2035545389714e-14
"ENSG00000108381.11",206.445806470602,-5.03267633779256,0.614210752721275,-8.19372880643194,2.5325533411709e-16,3.73578947535022e-14
"ENSG00000241644.2",2881.49894373282,-5.99118938768757,0.731957359548129,-8.18516175776442,2.71938134821724e-16,3.95448192651392e-14
"ENSG00000294802.1",132.259552163626,-8.32922222930749,1.02121876873101,-8.15615858652655,3.45848277627327e-16,4.92449519754911e-14
"ENSG00000100307.13",1683.35122445892,-2.52142182833679,0.309565532204921,-8.14503413987223,3.79174913766215e-16,5.36179478059481e-14
"ENSG00000159307.20",486.061237795933,-3.7639403514835,0.464695679898585,-8.09979630605764,5.50512849613878e-16,7.67871800577071e-14
"ENSG00000213741.11",4322.44504463776,-2.98896456510626,0.36927357376503,-8.09417401475944,5.76542206569683e-16,7.98744689425998e-14
"ENSG00000156298.13",1198.79965766242,-3.8292228520211,0.473679468432607,-8.08399583940571,6.26784713881686e-16,8.62523072042287e-14
"ENSG00000114654.8",852.627271926204,-4.85507301755115,0.601832245494462,-8.06715335360979,7.19561456170058e-16,9.77078681941117e-14
"ENSG00000101331.17",401.244044559546,-4.41065621202748,0.548689738661361,-8.03852505568659,9.09262694146759e-16,1.21853086802517e-13
"ENSG00000235997.5",330.871377798674,-4.77958336047002,0.594717016612865,-8.03673550101445,9.22635324216259e-16,1.22842303167079e-13
"ENSG00000108342.13",4536.20601000358,-9.32497759216934,1.16695589874952,-7.99085689713016,1.34004034357956e-15,1.76129405158688e-13
"ENSG00000272789.1",145.018279629723,-6.14262693677982,0.768884550581117,-7.98901074567992,1.36025839633378e-15,1.77648013747948e-13
"ENSG00000165810.17",1801.5524080171,-5.35661105349663,0.671618025056065,-7.97568089845337,1.5154301498181e-15,1.96660631594116e-13
"ENSG00000131831.18",641.444719676024,-2.93608537287124,0.369790092492275,-7.93987030069652,2.02392776989535e-15,2.56164290086014e-13
"ENSG00000185641.6",342.36808672267,-2.35306173539738,0.296563053672845,-7.93443993193155,2.11447327948272e-15,2.65982577438735e-13
"ENSG00000170477.13",187.391349365805,-5.41970131399048,0.686733644486779,-7.89199911421381,2.97383840716086e-15,3.67322787351965e-13
"ENSG00000235385.4",56.5902886716367,-4.53356027540144,0.575152501365542,-7.88236209464055,3.21249479935113e-15,3.92077341463664e-13
"ENSG00000198873.12",2234.42730502016,-3.66997406411887,0.466008787879814,-7.87533231039708,3.39838388715188e-15,4.12310433267231e-13
"ENSG00000196616.15",11902.982673365,-7.01577066057239,0.891055328949283,-7.87355221683626,3.44711114294184e-15,4.15762158087527e-13
"ENSG00000134201.12",483.9254110789,-4.37607343387664,0.558839434242205,-7.83064537993935,4.85371922786908e-15,5.8199215817677e-13
"ENSG00000135917.16",354.683442410304,-4.95316854316667,0.635991870490994,-7.78810040345762,6.80241190421539e-15,7.97009449623042e-13
"ENSG00000115306.17",17053.8050934799,-2.12689405799519,0.27375468675255,-7.76934299545971,7.88942659181739e-15,9.19118197946726e-13
"ENSG00000119138.5",3239.55610439024,-3.09498151789046,0.39871159132883,-7.76245683647039,8.3299726167732e-15,9.64959087764507e-13
"ENSG00000168477.21",2856.25186822762,-2.77673490292145,0.358790739025825,-7.73914875969413,1.00084625359332e-14,1.14007508798207e-12
"ENSG00000140538.17",167.183245594997,-3.71200602491202,0.479938449535497,-7.73433766039091,1.03942820424383e-14,1.17101296152833e-12
"ENSG00000136160.17",1987.92794174032,-3.9813425987377,0.515543893275979,-7.72260645633604,1.13974657306217e-14,1.27007411598189e-12
"ENSG00000157654.19",6002.04813880526,-2.28067067832961,0.295886234121887,-7.70793100631409,1.27873842475239e-14,1.40209907278733e-12
"ENSG00000164035.10",1492.03353699049,-3.58057461903131,0.464868373333499,-7.70234075799903,1.3359605242038e-14,1.45704971214227e-12
"ENSG00000224215.2",64.648485579522,-5.0046333421583,0.650792893878177,-7.69005529905975,1.47071446365975e-14,1.58713312436207e-12
"ENSG00000164741.15",5379.52205610706,-3.21276852073984,0.417935281117066,-7.68723930689146,1.50343769071861e-14,1.61395216808871e-12
"ENSG00000108823.17",360.371202351892,-5.18582064535967,0.678391860302402,-7.64428488727448,2.10109748005542e-14,2.23217112596147e-12
"ENSG00000268388.7",1307.70596246616,-6.9934651621374,0.922009992011423,-7.58502101141086,3.32433188998006e-14,3.4776582179669e-12
"ENSG00000034971.17",141.255008487759,-8.34875456153408,1.10184177472179,-7.57709024387109,3.53390979836067e-14,3.65955992452461e-12
"ENSG00000198848.13",2168.18922812132,-3.81585148765188,0.505615097649933,-7.5469492611825,4.45572072186274e-14,4.50049742271299e-12
